City,AQI,IDX,IAQI,Dominant Pollutant,Date
Las Cruces,30,9621,3.0,pm25,2020-08-13T14:00:00-06:00
Bozeman,53,7525,1.0,pm25,2020-08-13T14:00:00-07:00
Warren,21,9538,5.6,pm25,2020-08-13T17:00:00-05:00
San Marcos,53,6965,1.3,pm25,2020-08-13T16:00:00-06:00
Wilkes-Barre,41,5910,1.2,o3,2020-08-13T16:00:00-04:00
Appleton,49,5925,1.5,o3,2020-08-13T16:00:00-06:00
Shawnee,34,7407,10.0,pm25,2020-08-13T16:00:00-06:00
Livermore,62,3893,1.5,o3,2020-08-13T14:00:00-07:00
Charlotte,50,9529,2.6,pm25,2020-08-13T17:00:00-05:00
Owensboro,40,7414,5.1,pm25,2020-08-13T13:00:00-05:00
Billings,27,9644,7.6,pm25,2020-08-13T15:00:00-07:00
Wauwatosa,43,5934,0.4,o3,2020-08-13T16:00:00-06:00
New Haven,29,7388,1.0,pm25,2020-08-13T17:00:00-05:00
Knoxville,17,7494,3.0,pm25,2020-08-13T17:00:00-06:00
Murray,75,12860,3.6,pm25,2020-08-13T15:00:00-06:00
Alameda,50,5363,0.5,pm25,2020-08-13T14:00:00-07:00
Manteca,41,284,1.2,o3,2020-08-13T13:00:00-07:00
Maplewood,30,7348,6.1,pm25,2020-08-13T16:00:00-06:00
Medford,34,10150,0.9,o3,2020-08-11T20:00:00-07:00
Yuba City,46,307,4.6,o3,2020-08-13T14:00:00-07:00
Germantown,30,7499,0.6,o3,2020-08-13T16:00:00-06:00
Scranton,29,5906,1.3,pm25,2020-08-13T16:00:00-04:00
Auburn,35,114,1.6,pm25,2020-08-13T14:00:00-07:00
Vacaville,44,306,1.5,o3,2020-08-13T14:00:00-07:00
St. Cloud,30,7342,7.2,pm25,2020-08-13T16:00:00-06:00
Corona,25,60,2.0,pm25,2020-08-13T16:00:00-04:00
Rocklin,52,300,4.1,o3,2020-08-13T14:00:00-07:00
Sandy,99,12859,2.3,pm25,2020-08-13T15:00:00-06:00
Santa Clarita,28,246,1.3,pm25,2020-08-13T14:00:00-07:00
Altamonte Springs,14,6302,2.5,o3,2020-08-13T17:00:00-06:00
Irving,30,204,5.1,o3,2020-08-13T15:00:00-06:00
Alexandria,21,5336,4.6,pm25,2020-08-13T17:00:00-04:00
Kearny,56,3562,0.2,pm25,2020-08-13T17:00:00-05:00
Bethlehem,36,5895,1.9,o3,2020-08-13T16:00:00-04:00
Bloomington,44,12845,0.5,pm25,2020-08-13T16:00:00-05:00
Tracy,42,286,3.8,o3,2020-08-13T13:00:00-07:00
Spartanburg,47,7482,0.1,pm25,2020-08-13T14:00:00-05:00
Hempstead,37,63,0.8,pm25,2020-08-13T16:00:00-04:00
Camden,26,10168,1.0,o3,2020-08-13T17:00:00-05:00
Dublin,57,5112,0.6,pm25,2020-08-13T14:00:00+01:00
Elizabeth,53,3558,0.5,pm25,2020-08-13T17:00:00-05:00
Anchorage,18,8693,1.0,pm10,2020-08-13T12:00:00-08:00
Davie,17,9627,3.0,pm25,2020-08-13T17:00:00-06:00
McAllen,55,210,4.0,pm25,2020-08-13T14:00:00-06:00
Oakland,50,5363,0.5,pm25,2020-08-13T14:00:00-07:00
Lake Elsinore,34,249,3.4,pm10,2020-08-13T14:00:00-07:00
Provo,59,4468,3.0,pm25,2020-08-13T16:00:00-06:00
Madera,68,4613,3.0,pm10,2020-08-13T14:00:00-07:00
Providence,42,7593,1.5,pm25,2020-08-13T17:00:00-05:00
Hialeah,-,6298,3.0,,2020-08-13T00:00:00-06:00
Ontario,34,255,8.0,pm25,2020-08-13T15:00:00-07:00
Kirkland,33,9284,1.6,pm25,2020-08-13T14:00:00-07:00
Glendale,38,5954,2.7,o3,2020-08-13T15:00:00-07:00
Westfield,46,3564,0.5,pm25,2020-08-13T17:00:00-05:00
Longmont,57,6325,2.0,pm25,2020-08-13T15:00:00-06:00
Lakewood,34,6323,5.0,pm25,2020-08-13T15:00:00-06:00
Jonesboro,24,7629,1.0,pm25,2020-08-13T17:00:00-06:00
Dearborn,25,5324,6.0,pm25,2020-08-13T17:00:00-06:00
Utica,15,5101,0.6,pm25,2020-08-13T15:00:00-04:00
Monroe,16,6517,2.0,o3,2020-08-13T15:00:00-06:00
Baltimore,13,7418,1.0,pm25,2020-08-13T17:00:00-05:00
Springfield,34,8200,3.2,o3,2020-08-13T16:00:00-06:00
Lynn,34,3571,1.8,o3,2020-08-13T17:00:00-04:00
Woodbury,30,7348,6.1,pm25,2020-08-13T16:00:00-06:00
Gainesville,21,6456,1.0,pm25,2020-08-13T17:00:00-06:00
West Sacramento,0,304,0.2,o3,2020-08-13T13:00:00-07:00
Sammamish,33,9284,1.6,pm25,2020-08-13T14:00:00-07:00
Fayetteville,25,7441,0.5,pm25,2020-08-13T17:00:00-05:00
San Rafael,26,3898,2.6,o3,2020-08-13T14:00:00-07:00
Tacoma,46,9511,5.5,pm25,2020-08-13T14:00:00-07:00
Middletown,-,7466,2.5,,2020-08-13T17:00:00-05:00
Burlington,54,4,1.5,so2,2020-08-13T17:00:00-05:00
Twin Falls,25,5321,5.1,pm25,2020-08-13T15:00:00-08:00
St. Joseph,32,7359,4.6,pm25,2020-08-13T16:00:00-06:00
Houston,61,178,2.5,pm25,2020-08-13T14:00:00-06:00
Santee,60,9608,7.0,o3,2020-08-13T14:00:00-07:00
Bellevue,33,9284,1.6,pm25,2020-08-13T14:00:00-07:00
Pembroke Pines,17,9627,3.0,pm25,2020-08-13T17:00:00-06:00
Springdale,39,7381,0.8,o3,2020-08-13T16:00:00-06:00
Oxnard,34,264,2.0,pm10,2020-08-13T14:00:00-07:00
Odessa,13,11719,0.5,pm25,2020-08-14T03:00:00+03:00
Brockton,30,3568,0.5,o3,2020-08-13T17:00:00-04:00
Bayonne,28,5882,0.2,pm25,2020-08-13T16:00:00-04:00
Paramount,129,244,3.7,pm25,2020-07-22T13:00:00-07:00
Moline,43,9516,3.0,o3,2020-08-13T16:00:00-06:00
Meridian,37,9614,0.2,o3,2020-08-13T15:00:00-08:00
Cleveland,34,7462,2.0,o3,2020-08-13T17:00:00-05:00
Jersey City,58,3309,0.2,pm25,2020-08-13T16:00:00-04:00
St. Paul,30,7348,6.1,pm25,2020-08-13T16:00:00-06:00
Freeport,37,63,0.8,pm25,2020-08-13T16:00:00-04:00
Iowa City,39,6920,1.1,pm25,2020-08-10T10:00:00-06:00
Apple Valley,55,7347,1.5,pm25,2020-08-13T16:00:00-06:00
Great Falls,18,7527,4.6,pm25,2020-08-13T15:00:00-07:00
Hampton,11,5345,3.0,o3,2020-08-13T17:00:00-04:00
Georgetown,61,5778,1.5,,2020-08-14T06:00:00+08:00
Orem,46,12863,5.0,o3,2020-08-13T15:00:00-06:00
Plymouth,52,3202,1.5,pm25,2020-08-13T22:00:00+01:00
South Bend,41,7510,3.0,o3,2020-08-13T17:00:00-05:00
Edmond,60,7584,3.0,pm25,2020-08-13T16:00:00-06:00
Des Moines,38,6924,1.0,pm25,2020-08-13T17:00:00-06:00
Bonita Springs,12,6285,0.5,o3,2020-08-13T17:00:00-06:00
Draper,99,12859,1.0,pm25,2020-08-13T15:00:00-06:00
Milwaukee,48,5936,1.7,o3,2020-08-13T16:00:00-06:00
Auburn,35,114,1.6,pm25,2020-08-13T14:00:00-07:00
Renton,37,9508,3.0,pm25,2020-08-13T14:00:00-07:00
Richmond,15,5357,1.6,pm25,2020-08-13T17:00:00-04:00
Anderson,35,7322,0.4,pm25,2020-08-13T17:00:00-05:00
Hoboken,58,3309,0.2,pm25,2020-08-13T16:00:00-04:00
Lexington-Fayette,38,7330,0.5,o3,2020-08-13T16:00:00-05:00
Yuma,52,8395,2.5,pm10,2020-08-13T15:00:00-07:00
Highland,39,10180,2.0,pm25,2020-08-13T16:00:00-05:00
Joliet,60,9640,1.0,pm25,2020-08-13T16:00:00-06:00
Rancho Cordova,0,303,2.0,o3,2020-08-13T13:00:00-07:00
Dearborn Heights,41,5322,4.0,o3,2020-08-13T17:00:00-06:00
Honolulu,34,5268,2.3,pm25,2020-08-13T12:00:00-10:00
Victoria,42,4242,0.5,pm25,2020-08-13T14:00:00-08:00
Methuen,42,3570,0.3,pm25,2020-08-13T17:00:00-04:00
Rockville,34,7419,0.5,o3,2020-08-13T17:00:00-05:00
Huntsville,53,7596,0.6,pm25,2020-08-13T15:00:00-06:00
Grand Junction,10,6321,6.0,pm10,2020-08-13T15:00:00-06:00
Riverton,99,12859,1.0,pm25,2020-08-13T15:00:00-06:00
Yakima,25,162,3.0,pm25,2020-08-13T14:00:00-07:00
Dayton,49,7463,0.8,pm25,2020-08-13T16:00:00-05:00
Gulfport,47,7515,1.4,pm25,2020-08-13T17:00:00-06:00
Long Beach,129,244,3.7,pm25,2020-07-22T13:00:00-07:00
Chico,38,296,0.5,o3,2020-08-13T14:00:00-07:00
Hattiesburg,23,7431,2.5,pm25,2020-08-13T17:00:00-06:00
Eugene,30,8305,2.5,pm25,2020-08-13T14:00:00-07:00
Everett,42,123,4.1,pm25,2020-08-13T14:00:00-07:00
Fairfield,41,7389,2.0,pm25,2020-08-13T17:00:00-05:00
Avondale,25,7595,1.3,pm25,2020-08-13T16:00:00-06:00
Battle Creek,46,12863,4.0,o3,2020-08-13T15:00:00-06:00
Bloomington,44,12845,0.5,pm25,2020-08-13T16:00:00-05:00
Rock Island,37,6913,4.1,o3,2020-08-13T15:00:00-06:00
Kenner,48,6514,0.5,pm25,2020-08-13T17:00:00-06:00
Clovis,65,274,3.0,o3,2020-08-13T14:00:00-07:00
Troy,28,5100,1.8,pm25,2020-07-28T15:00:00-04:00
Milpitas,42,3902,0.2,o3,2020-08-13T14:00:00-07:00
Des Plaines,65,9523,1.3,pm25,2020-08-13T15:00:00-06:00
Montclair,34,255,8.0,pm25,2020-08-13T15:00:00-07:00
Savannah,31,3920,2.2,pm25,2020-08-13T16:00:00-04:00
Warren,21,9538,5.6,pm25,2020-08-13T17:00:00-05:00
Vancouver,53,10133,8.0,pm25,2020-08-13T14:00:00-08:00
Danbury,39,7385,2.0,pm25,2020-08-13T17:00:00-05:00
Charlottesville,17,5339,1.3,pm25,2020-08-13T17:00:00-04:00
Coral Gables,-,6298,3.0,,2020-08-13T00:00:00-06:00
Crystal Lake,50,7403,4.2,o3,2020-08-13T16:00:00-06:00
Salem,34,89,4.2,o3,2020-08-13T14:00:00-07:00
Brownsville,42,214,6.0,pm25,2020-08-13T14:00:00-06:00
Detroit,25,5915,1.5,pm25,2020-08-13T18:00:00-05:00
Fairfield,41,7389,2.0,pm25,2020-08-13T17:00:00-05:00
Rochester,14,9597,1.3,pm25,2020-08-13T17:00:00-04:00
Birmingham,60,5723,5.6,pm25,2020-08-13T22:00:00+01:00
Austin,63,224,1.5,pm25,2020-08-13T14:00:00-06:00
Santa Barbara,28,262,0.6,o3,2020-08-13T14:00:00-07:00
Normal,42,9513,5.3,o3,2020-08-13T16:00:00-06:00
Wellington,7,8525,7.2,pm25,2020-08-14T10:00:00+12:00
Weston,17,6284,3.0,pm25,2020-08-13T17:00:00-06:00
Troy,28,5100,1.8,pm25,2020-07-28T15:00:00-04:00
Stockton,52,285,3.6,o3,2020-08-13T14:00:00-07:00
Titusville,36,114,0.6,pm25,2020-08-13T15:00:00-07:00
Spokane Valley,42,148,2.2,pm25,2020-08-13T14:00:00-07:00
Lacey,33,115,3.0,o3,2020-08-13T14:00:00-07:00
Spanish Fork,48,12864,0.7,o3,2020-08-13T15:00:00-06:00
Huntington Park,38,243,0.1,pm25,2020-08-13T14:00:00-07:00
Eden Prairie,38,11928,5.1,pm25,2020-08-13T16:00:00-06:00
Peoria,38,5954,2.7,o3,2020-08-13T15:00:00-07:00
Tempe,53,5950,1.8,o3,2020-08-13T15:00:00-07:00
Taylorsville,75,12860,3.0,pm25,2020-08-13T15:00:00-06:00
Burlington,54,4,1.5,so2,2020-08-13T17:00:00-05:00
Richmond,15,5357,1.6,pm25,2020-08-13T17:00:00-04:00
Bismarck,34,7445,4.3,o3,2020-08-13T15:00:00-06:00
Augusta-Richmond County,41,3908,2.5,pm25,2020-08-13T16:00:00-04:00
Fayetteville,34,7441,2.5,pm25,2020-08-13T18:00:00-05:00
Albany,37,9593,0.4,pm25,2020-08-13T16:00:00-04:00
Sayreville,53,8531,0.3,pm25,2020-08-13T17:00:00-05:00
Newark,56,3562,0.2,pm25,2020-08-13T17:00:00-05:00
Decatur,34,7401,3.0,o3,2020-08-13T16:00:00-06:00
Chattanooga,26,7372,1.0,pm25,2020-08-13T17:00:00-06:00
Jeffersonville,30,12843,1.0,pm25,2020-08-13T17:00:00-05:00
Bartlett,30,7499,0.6,o3,2020-08-13T16:00:00-06:00
Miami Beach,-,6298,3.0,,2020-08-13T00:00:00-06:00
Jackson,27,7432,2.0,o3,2020-08-13T17:00:00-06:00
Port Arthur,25,219,2.5,pm25,2020-08-13T13:00:00-06:00
San Luis Obispo,20,259,3.2,o3,2020-08-13T14:00:00-07:00
Redmond,34,9284,1.5,pm25,2020-08-13T15:00:00-07:00
Davis,42,308,4.3,o3,2020-08-13T14:00:00-07:00
Smyrna,39,4070,2.0,pm10,2020-08-14T00:00:00+03:00
Altoona,42,5885,1.5,o3,2020-08-13T16:00:00-04:00
East Orange,56,3562,0.2,pm25,2020-08-13T17:00:00-05:00
Lynwood,-,9606,4.7,,2020-08-13T14:00:00-07:00
Northglenn,49,6328,5.0,pm10,2020-08-13T16:00:00-06:00
Canton,43,7458,2.7,pm25,2020-08-13T17:00:00-05:00
Baton Rouge,22,6513,1.0,o3,2020-08-13T17:00:00-06:00
Bristol,78,8917,1.2,pm25,2020-08-13T22:00:00+01:00
Independence,23,7352,1.0,pm25,2020-08-13T17:00:00-06:00
Vineland,18,3561,0.1,o3,2020-08-13T17:00:00-05:00
Green Bay,49,5929,1.3,o3,2020-08-13T16:00:00-06:00
Evanston,34,7407,10.0,pm25,2020-08-13T16:00:00-06:00
Los Angeles,38,243,0.1,pm25,2020-08-13T14:00:00-07:00
Federal Way,41,150,1.5,pm25,2020-08-13T15:00:00-07:00
West Jordan,67,12860,3.0,pm25,2020-08-13T16:00:00-06:00
Pittsburgh,35,10172,0.3,o3,2020-08-13T14:00:00-04:00
Downey,-,9606,4.7,,2020-08-13T14:00:00-07:00
Cicero,25,7595,1.3,pm25,2020-08-13T16:00:00-06:00
Panama City,32,6282,4.0,pm25,2020-08-13T17:00:00-06:00
League City,23,179,1.2,pm25,2020-08-13T15:00:00-06:00
Salt Lake City,59,4469,3.0,pm25,2020-08-13T16:00:00-06:00
Phoenix,44,5944,3.6,o3,2020-08-13T15:00:00-07:00
Corvallis,40,74,1.0,o3,2020-08-13T15:00:00-07:00
Ocala,20,6296,0.2,pm25,2020-08-13T18:00:00-06:00
Park Ridge,65,9523,1.3,pm25,2020-08-13T15:00:00-06:00
Concord,42,3896,0.5,o3,2020-08-13T14:00:00-07:00
Olympia,33,115,3.0,o3,2020-08-13T14:00:00-07:00
San Jose,42,3902,0.2,o3,2020-08-13T14:00:00-07:00
Homestead,-,6299,0.5,,2020-08-12T07:00:00-06:00
Irvine,34,6012,3.0,pm25,2020-08-13T21:00:00+01:00
Pocatello,57,5860,0.5,pm10,2020-08-13T15:00:00-08:00
Bossier City,50,7635,2.5,pm25,2020-08-13T17:00:00-06:00
Cedar Park,26,217,0.1,o3,2020-08-13T15:00:00-06:00
Moore,57,7365,1.5,pm25,2020-08-13T16:00:00-06:00
Lancaster,44,5899,1.2,pm25,2020-08-13T16:00:00-04:00
Cape Coral,5,6311,3.0,pm10,2020-08-13T17:00:00-06:00
Gilroy,46,3904,1.6,pm10,2020-08-13T13:00:00-07:00
Manchester,42,3196,0.7,pm25,2020-08-13T22:00:00+01:00
Salina,65,2941,6.5,pm25,2020-08-14T01:00:00+03:00
Somerville,42,5883,2.0,pm25,2020-08-13T17:00:00-04:00
Fresno,65,276,1.5,pm10,2020-08-13T14:00:00-07:00
Phenix City,26,10179,4.1,o3,2020-08-13T16:00:00-06:00
Berwyn,25,7595,1.3,pm25,2020-08-13T16:00:00-06:00
Pawtucket,42,7478,0.2,pm25,2020-08-13T17:00:00-05:00
Winston-Salem,40,7440,3.0,pm25,2020-08-13T18:00:00-05:00
Union City,58,3309,0.2,pm25,2020-08-13T17:00:00-04:00
Miramar,17,9627,3.0,pm25,2020-08-13T17:00:00-06:00
El Paso,56,209,7.0,o3,2020-08-13T14:00:00-06:00
Topeka,30,9514,0.4,o3,2020-08-13T16:00:00-06:00
Keizer,36,89,8.0,o3,2020-08-13T15:00:00-07:00
Akron,55,7465,4.6,pm25,2020-08-13T17:00:00-05:00
Edinburg,29,3176,0.7,o3,2020-08-13T22:00:00+01:00
Rancho Cucamonga,34,255,8.0,pm25,2020-08-13T15:00:00-07:00
Louisville,30,12843,1.0,pm25,2020-08-13T17:00:00-05:00
Carlsbad,32,269,8.0,o3,2020-08-13T14:00:00-07:00
Wyoming,45,5327,4.0,o3,2020-08-13T18:00:00-06:00
Warner Robins,51,3909,0.7,pm25,2020-08-13T16:00:00-04:00
Clearwater,39,5928,2.4,pm25,2020-08-13T17:00:00-06:00
Terre Haute,35,7506,1.2,o3,2020-08-13T17:00:00-05:00
Sioux Falls,44,7490,8.7,pm10,2020-08-13T15:00:00-06:00
Warwick,69,3183,0.2,pm25,2020-08-13T22:00:00+01:00
Bakersfield,48,279,6.8,o3,2020-08-13T14:00:00-07:00
Miami,-,6298,3.0,,2020-08-13T00:00:00-06:00
Lake Charles,48,6519,4.0,pm25,2020-08-13T17:00:00-06:00
Richland,42,113,1.2,pm25,2020-08-13T14:00:00-07:00
Hickory,74,8886,3.4,pm25,2020-08-13T17:00:00-05:00
Corpus Christi,47,211,5.6,pm25,2020-08-13T15:00:00-06:00
Haverhill,42,3570,0.3,pm25,2020-08-13T17:00:00-04:00
Cambridge,68,3224,0.6,pm25,2020-08-13T22:00:00+01:00
Glendale,38,5954,2.7,o3,2020-08-13T15:00:00-07:00
Davenport,37,6913,4.1,o3,2020-08-13T15:00:00-06:00
New Britain,22,6310,0.2,pm25,2020-08-13T18:00:00-06:00
Roseville,52,300,4.1,o3,2020-08-13T14:00:00-07:00
Lauderhill,17,9627,3.0,pm25,2020-08-13T17:00:00-06:00
Hendersonville,47,7500,1.2,o3,2020-08-13T16:00:00-06:00
Santa Clara,42,3902,0.2,o3,2020-08-13T14:00:00-07:00
Oceanside,32,269,8.0,o3,2020-08-13T14:00:00-07:00
West New York,58,3309,0.2,pm25,2020-08-13T17:00:00-04:00
Everett,30,123,5.0,o3,2020-08-13T14:00:00-07:00
Linden,46,3564,0.5,pm25,2020-08-13T17:00:00-05:00
Asheville,38,7439,0.1,pm25,2020-08-13T18:00:00-05:00
Compton,-,9606,4.7,,2020-08-13T14:00:00-07:00
New York,58,3309,0.2,pm25,2020-08-13T17:00:00-04:00
Carson,-,9606,4.7,,2020-08-13T14:00:00-07:00
Evansville,33,7323,2.0,o3,2020-08-13T16:00:00-05:00
Santa Maria,31,263,2.5,pm10,2020-08-13T14:00:00-07:00
La Mesa,60,9608,7.0,o3,2020-08-13T14:00:00-07:00
Westminster,55,6324,4.0,pm25,2020-08-13T16:00:00-06:00
Reading,53,10104,2.2,pm25,2020-08-13T22:00:00+01:00
Turlock,62,310,2.5,o3,2020-08-13T14:00:00-07:00
Greeley,36,6322,6.0,pm10,2020-08-13T16:00:00-06:00
Martinez,41,3908,2.5,pm25,2020-08-13T16:00:00-04:00
Thousand Oaks,41,325,1.0,o3,2020-08-13T14:00:00-07:00
Azusa,61,242,4.8,pm25,2020-08-13T15:00:00-07:00
Bridgeport,41,7389,2.0,pm25,2020-08-13T17:00:00-05:00
Chesterfield,55,8911,0.5,pm25,2020-08-13T22:00:00+01:00
Greenacres,8,9626,2.0,o3,2020-08-13T18:00:00-06:00
Madison,51,5933,2.3,o3,2020-08-13T16:00:00-06:00
Arlington,56,184,6.6,pm25,2020-08-13T15:00:00-06:00
Farmington,82,12876,7.0,pm25,2020-08-13T16:00:00-06:00
Springfield,34,8200,1.5,o3,2020-08-13T17:00:00-06:00
